"id_orador";"nombre";"apellido";"mail";"tema";"fecha_alta"
1;"Andres";"Soria ";"andres@gmail.com";"sql";"2023-11-01"
2;"Luis";"Perez";"luis@gmail.com";"html";"2023-11-02"
3;"Jorge";"Torres";"jorge@gmail.com";"css";"2023-11-03"
4;"Leonardo";"Rivas";"rivas@gmaill.com";"js";"2023-11-04"
5;"Manuel";"Hernandes";"manu@gmail.com";"val";"2023-11-05"
6;"Oscar";"Cabrera";"oscar@gmail.com";"react";"2023-11-06"
7;"Martin";"Nievas";"martin@gmail.com";"php";"2023-11-07"
8;"Lorena";"Arias";"lore@gmail.com";"ux";"2023-11-08"
9;"Vanesa";"Corzo";"vane@gmail.com";"qa";"2023-11-09"
10;"Caren";"Contreras";"caren@gmail.com";"java";"2023-11-10"
